etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
FW,1,0,1,1,1,ANGRA1,1,0.0,10.0,0.0
FW,1,0,1,1,1,ANGRA2,2,119.0,5.0,595.0
FW,1,0,2,2,1,ANGRA1,1,0.0,10.0,0.0
FW,1,0,2,2,1,ANGRA2,2,128.0,5.0,640.0
FW,1,0,3,3,1,ANGRA1,1,0.0,10.0,0.0
FW,1,0,3,3,1,ANGRA2,2,101.0,5.0,505.0
FW,1,0,4,4,1,ANGRA1,1,144.0,10.0,1440.0
FW,1,0,4,4,1,ANGRA2,2,150.0,5.0,750.0
FW,1,0,5,5,1,ANGRA1,1,0.0,10.0,0.0
FW,1,0,5,5,1,ANGRA2,2,74.0,5.0,370.0
FW,2,0,1,1,1,ANGRA1,1,0.0,10.0,0.0
FW,2,0,1,1,1,ANGRA2,2,150.0,5.0,750.0
FW,2,0,2,2,1,ANGRA1,1,0.0,10.0,0.0
FW,2,0,2,2,1,ANGRA2,2,150.0,5.0,750.0
FW,2,0,3,3,1,ANGRA1,1,0.0,10.0,0.0
FW,2,0,3,3,1,ANGRA2,2,150.0,5.0,750.0
FW,2,0,4,4,1,ANGRA1,1,88.0,10.0,880.0
FW,2,0,4,4,1,ANGRA2,2,150.0,5.0,750.0
FW,2,0,5,5,1,ANGRA1,1,0.0,10.0,0.0
FW,2,0,5,5,1,ANGRA2,2,66.0,5.0,330.0
FW,3,0,1,1,1,ANGRA1,1,0.0,10.0,0.0
FW,3,0,1,1,1,ANGRA2,2,150.0,5.0,750.0
FW,3,0,2,2,1,ANGRA1,1,0.0,10.0,0.0
FW,3,0,2,2,1,ANGRA2,2,150.0,5.0,750.0
FW,3,0,3,3,1,ANGRA1,1,0.0,10.0,0.0
FW,3,0,3,3,1,ANGRA2,2,114.0,5.0,570.0
FW,3,0,4,4,1,ANGRA1,1,88.0,10.0,880.0
FW,3,0,4,4,1,ANGRA2,2,150.0,5.0,750.0
FW,3,0,5,5,1,ANGRA1,1,0.0,10.0,0.0
FW,3,0,5,5,1,ANGRA2,2,66.0,5.0,330.0
