iter,est,node,ilha,codigoBarra,generation,demanda,potenciaLiquida,deficit
1,1,1,1,1,100.0,0.0,100.0,0.0
1,1,1,1,2,100.0,0.0,100.0,0.0
1,1,1,1,3,100.0,0.0,100.0,0.0
1,1,1,1,4,100.0,0.0,100.0,0.0
1,1,1,1,5,100.0,0.0,100.0,0.0
1,1,1,1,6,100.0,0.0,100.0,0.0
1,1,1,1,7,100.0,0.0,100.0,0.0
1,1,1,1,8,100.0,0.0,100.0,0.0
1,1,1,1,9,100.0,0.0,100.0,0.0
1,1,1,1,10,0.0,0.0,0.0,0.0
1,1,1,1,11,0.0,0.0,0.0,0.0
1,1,1,1,12,0.0,0.0,0.0,0.0
1,1,1,1,13,0.0,75.0,-75.0,0.0
1,1,1,1,14,0.0,75.0,-75.0,0.0
1,1,1,1,15,0.0,75.0,-75.0,0.0
1,1,1,1,16,0.0,75.0,-75.0,0.0
1,1,1,1,17,0.0,75.0,-75.0,0.0
1,1,1,1,18,0.0,75.0,-75.0,0.0
1,1,1,1,19,0.0,75.0,-75.0,0.0
1,1,1,1,20,0.0,75.0,-75.0,0.0
1,1,1,1,21,0.0,75.0,-75.0,0.0
1,1,1,1,22,0.0,75.0,-75.0,0.0
1,1,1,1,23,0.0,75.0,-75.0,0.0
1,1,1,1,24,0.0,75.0,-75.0,0.0
2,1,1,1,1,100.0,0.0,100.0,0.0
2,1,1,1,2,100.0,0.0,100.0,0.0
2,1,1,1,3,2.0,0.0,2.0,0.0
2,1,1,1,4,100.0,0.0,100.0,0.0
2,1,1,1,5,100.0,0.0,100.0,0.0
2,1,1,1,6,100.0,0.0,100.0,0.0
2,1,1,1,7,100.0,0.0,100.0,0.0
2,1,1,1,8,100.0,0.0,100.0,0.0
2,1,1,1,9,0.0,0.0,0.0,0.0
2,1,1,1,10,98.0,0.0,98.0,0.0
2,1,1,1,11,100.0,0.0,100.0,0.0
2,1,1,1,12,0.0,0.0,0.0,0.0
2,1,1,1,13,0.0,75.0,-75.0,0.0
2,1,1,1,14,0.0,75.0,-75.0,0.0
2,1,1,1,15,0.0,75.0,-75.0,0.0
2,1,1,1,16,0.0,75.0,-75.0,0.0
2,1,1,1,17,0.0,75.0,-75.0,0.0
2,1,1,1,18,0.0,75.0,-75.0,0.0
2,1,1,1,19,0.0,75.0,-75.0,0.0
2,1,1,1,20,0.0,75.0,-75.0,0.0
2,1,1,1,21,0.0,75.0,-75.0,0.0
2,1,1,1,22,0.0,75.0,-75.0,0.0
2,1,1,1,23,0.0,75.0,-75.0,0.0
2,1,1,1,24,0.0,75.0,-75.0,0.0
